Year,G,G,Coach,Offense,Defense,Team
1990,16,1.0,Marty Schottenheimer,Joe Pendry,Bill Cowher,Kansas City Chiefs
1989,16,0.0,Marty Schottenheimer,Joe Pendry,Bill Cowher,Kansas City Chiefs
1988,16,0.0,Frank Gansz,George Sefcik,Rod Rust,Kansas City Chiefs
1987,15,0.0,Frank Gansz,Homer Smith,John Paul Young,Kansas City Chiefs
1986,16,1.0,John Mackovic,,Walt Corey,Kansas City Chiefs
1985,16,0.0,John Mackovic,,Dan Daniel,Kansas City Chiefs
1984,16,0.0,John Mackovic,,Dan Daniel,Kansas City Chiefs
1983,16,0.0,John Mackovic,,Bud Carson,Kansas City Chiefs
1982,9,0.0,Marv Levy,,Rod Rust,Kansas City Chiefs
1981,16,0.0,Marv Levy,,Rod Rust,Kansas City Chiefs
1980,16,0.0,Marv Levy,,Rod Rust,Kansas City Chiefs
1979,16,0.0,Marv Levy,,Rod Rust,Kansas City Chiefs
1978,16,0.0,Marv Levy,,Rod Rust,Kansas City Chiefs
1977,7,0.0,Tom Bettis,Bob Schnelker,,Kansas City Chiefs
1977,7,0.0,Paul Wiggin,Bob Schnelker,Tom Bettis,Kansas City Chiefs
1976,14,0.0,Paul Wiggin,Chet Franklin,Vince Costello,Kansas City Chiefs
1975,14,0.0,Paul Wiggin,Chet Franklin,Vince Costello,Kansas City Chiefs
1974,14,0.0,Hank Stram,,,Kansas City Chiefs
1973,14,0.0,Hank Stram,,,Kansas City Chiefs
1972,14,0.0,Hank Stram,,,Kansas City Chiefs
1971,14,1.0,Hank Stram,,,Kansas City Chiefs
1970,14,0.0,Hank Stram,,,Kansas City Chiefs
1969,14,3.0,Hank Stram,,,Kansas City Chiefs
1968,14,1.0,Hank Stram,,,Kansas City Chiefs
1967,14,0.0,Hank Stram,,,Kansas City Chiefs
1966,14,2.0,Hank Stram,,,Kansas City Chiefs
1965,14,0.0,Hank Stram,,,Kansas City Chiefs
1964,14,0.0,Hank Stram,,,Kansas City Chiefs
1963,14,0.0,Hank Stram,,,Kansas City Chiefs
1962,14,1.0,Hank Stram,,,Kansas City Chiefs
1961,14,0.0,Hank Stram,,,Kansas City Chiefs
1960,14,0.0,Hank Stram,,,Kansas City Chiefs
2025,7,,Pete Carroll,Chip Kelly,Patrick Graham,Las Vegas Raiders
2024,17,,Antonio Pierce,"Luke Getsy, Scott Turner",Patrick Graham,Las Vegas Raiders
2023,9,,Antonio Pierce,"Bo Hardegree, Mick Lombardi",Patrick Graham,Las Vegas Raiders
2023,8,,Josh McDaniels,"Bo Hardegree, Mick Lombardi",Patrick Graham,Las Vegas Raiders
2022,17,,Josh McDaniels,Mick Lombardi,Patrick Graham,Las Vegas Raiders
2021,12,1.0,Rich Bisaccia,Greg Olson,Gus Bradley,Las Vegas Raiders
2021,5,0.0,Jon Gruden,Greg Olson,Gus Bradley,Las Vegas Raiders
2020,16,,Jon Gruden,Greg Olson,"Paul Guenther, Rod Marinelli",Las Vegas Raiders
2019,16,,Jon Gruden,Greg Olson,Paul Guenther,Las Vegas Raiders
2018,16,,Jon Gruden,Greg Olson,Paul Guenther,Las Vegas Raiders
2017,16,,Jack Del Rio,Todd Downing,"Ken Norton, John Pagano",Las Vegas Raiders
2016,16,1.0,Jack Del Rio,Bill Musgrave,Ken Norton,Las Vegas Raiders
2015,16,,Jack Del Rio,Bill Musgrave,Ken Norton,Las Vegas Raiders
2014,12,0.0,Tony Sparano,Greg Olson,Jason Tarver,Las Vegas Raiders
2014,4,0.0,Dennis Allen,Greg Olson,Jason Tarver,Las Vegas Raiders
2013,16,0.0,Dennis Allen,Greg Olson,Jason Tarver,Las Vegas Raiders
2012,16,0.0,Dennis Allen,Greg Knapp,Jason Tarver,Las Vegas Raiders
2011,16,0.0,Hue Jackson,Al Saunders,Chuck Bresnahan,Las Vegas Raiders
2010,16,0.0,Tom Cable,Hue Jackson,John Marshall,Las Vegas Raiders
2009,16,0.0,Tom Cable,,John Marshall,Las Vegas Raiders
2008,12,0.0,Tom Cable,Greg Knapp,Rob Ryan,Las Vegas Raiders
2008,4,0.0,Lane Kiffin,Greg Knapp,Rob Ryan,Las Vegas Raiders
2007,16,0.0,Lane Kiffin,Greg Knapp,Rob Ryan,Las Vegas Raiders
2006,16,0.0,Art Shell,"John Shoop, Tom Walsh",Rob Ryan,Las Vegas Raiders
2005,16,0.0,Norv Turner,Jimmy Raye,Rob Ryan,Las Vegas Raiders
2004,16,0.0,Norv Turner,Jimmy Raye,Rob Ryan,Las Vegas Raiders
2003,16,0.0,Bill Callahan,Marc Trestman,Chuck Bresnahan,Las Vegas Raiders
2002,16,3.0,Bill Callahan,Marc Trestman,Chuck Bresnahan,Las Vegas Raiders
2001,16,2.0,Jon Gruden,Bill Callahan,Chuck Bresnahan,Las Vegas Raiders
2000,16,2.0,Jon Gruden,Bill Callahan,Chuck Bresnahan,Las Vegas Raiders
1999,16,0.0,Jon Gruden,Bill Callahan,Willie Shaw,Las Vegas Raiders
1998,16,0.0,Jon Gruden,Bill Callahan,Willie Shaw,Las Vegas Raiders
1997,16,0.0,Joe Bugel,Ray Perkins,Fred Whittingham,Las Vegas Raiders
1996,16,0.0,Mike White,Joe Bugel,Fred Whittingham,Las Vegas Raiders
1995,16,0.0,Mike White,Joe Bugel,John Fox,Las Vegas Raiders
1994,16,0.0,Art Shell,Tom Walsh,John Fox,Las Vegas Raiders
1993,16,2.0,Art Shell,Tom Walsh,Gunther Cunningham,Las Vegas Raiders
1992,16,0.0,Art Shell,"Terry Robiskie, Tom Walsh",Gunther Cunningham,Las Vegas Raiders
1991,16,1.0,Art Shell,Terry Robiskie,Dave Adolph,Las Vegas Raiders
1990,16,2.0,Art Shell,Terry Robiskie,Dave Adolph,Las Vegas Raiders
1989,12,0.0,Art Shell,"Terry Robiskie, Tom Walsh",Dave Adolph,Las Vegas Raiders
1989,4,0.0,Mike Shanahan,"Terry Robiskie, Tom Walsh",Dave Adolph,Las Vegas Raiders
1988,16,0.0,Mike Shanahan,,Charlie Sumner,Las Vegas Raiders
1987,15,0.0,Tom Flores,,Charlie Sumner,Las Vegas Raiders
1986,16,0.0,Tom Flores,,,Las Vegas Raiders
1985,16,1.0,Tom Flores,,,Las Vegas Raiders
1984,16,1.0,Tom Flores,,,Las Vegas Raiders
1983,16,3.0,Tom Flores,,Charlie Sumner,Las Vegas Raiders
1982,9,2.0,Tom Flores,,Charlie Sumner,Las Vegas Raiders
1981,16,0.0,Tom Flores,,Charlie Sumner,Las Vegas Raiders
1980,16,4.0,Tom Flores,,Charlie Sumner,Las Vegas Raiders
1979,16,0.0,Tom Flores,,Charlie Sumner,Las Vegas Raiders
1978,16,0.0,John Madden,,,Las Vegas Raiders
1977,14,2.0,John Madden,,,Las Vegas Raiders
1976,14,3.0,John Madden,,,Las Vegas Raiders
1975,14,2.0,John Madden,,,Las Vegas Raiders
1974,14,2.0,John Madden,,,Las Vegas Raiders
1973,14,2.0,John Madden,,,Las Vegas Raiders
1972,14,1.0,John Madden,,,Las Vegas Raiders
1971,14,0.0,John Madden,,,Las Vegas Raiders
1970,14,2.0,John Madden,,,Las Vegas Raiders
1969,14,2.0,John Madden,,,Las Vegas Raiders
1968,14,2.0,John Rauch,,,Las Vegas Raiders
1967,14,2.0,John Rauch,,,Las Vegas Raiders
1966,14,0.0,John Rauch,,,Las Vegas Raiders
1965,14,0.0,Al Davis,,,Las Vegas Raiders
1964,14,0.0,Al Davis,,,Las Vegas Raiders
1963,14,0.0,Al Davis,,,Las Vegas Raiders
1962,9,0.0,Bill Conkright,,,Las Vegas Raiders
1962,5,0.0,Marty Feldman,,,Las Vegas Raiders
1961,12,0.0,Marty Feldman,,,Las Vegas Raiders
1961,2,0.0,Eddie Erdelatz,,,Las Vegas Raiders
1960,14,0.0,Eddie Erdelatz,,,Las Vegas Raiders
2025,8,,Jim Harbaugh,Greg Roman,Jesse Minter,Los Angeles Chargers
2024,17,1.0,Jim Harbaugh,Greg Roman,Jesse Minter,Los Angeles Chargers
2023,3,,Giff Smith,Kellen Moore,Derrick Ansley,Los Angeles Chargers
2023,14,,Brandon Staley,Kellen Moore,Derrick Ansley,Los Angeles Chargers
2022,17,1.0,Brandon Staley,Joe Lombardi,Renaldo Hill,Los Angeles Chargers
2021,17,,Brandon Staley,Joe Lombardi,Renaldo Hill,Los Angeles Chargers
2020,16,,Anthony Lynn,Shane Steichen,Gus Bradley,Los Angeles Chargers
2019,16,,Anthony Lynn,"Shane Steichen, Ken Whisenhunt",Gus Bradley,Los Angeles Chargers
2018,16,2.0,Anthony Lynn,Ken Whisenhunt,Gus Bradley,Los Angeles Chargers
2017,16,,Anthony Lynn,Ken Whisenhunt,Gus Bradley,Los Angeles Chargers
2016,16,,Mike McCoy,Ken Whisenhunt,John Pagano,Los Angeles Chargers
2015,16,,Mike McCoy,Frank Reich,John Pagano,Los Angeles Chargers
2014,16,0.0,Mike McCoy,Frank Reich,John Pagano,Los Angeles Chargers
2013,16,2.0,Mike McCoy,Ken Whisenhunt,John Pagano,Los Angeles Chargers
2012,16,0.0,Norv Turner,Hal Hunter,John Pagano,Los Angeles Chargers
2011,16,0.0,Norv Turner,Clarence Shelmon,Greg Manusky,Los Angeles Chargers
2010,16,0.0,Norv Turner,Clarence Shelmon,Ron Rivera,Los Angeles Chargers
2009,16,1.0,Norv Turner,Clarence Shelmon,Ron Rivera,Los Angeles Chargers
2008,16,2.0,Norv Turner,Clarence Shelmon,"Ted Cottrell, Ron Rivera",Los Angeles Chargers
2007,16,3.0,Norv Turner,Clarence Shelmon,Ted Cottrell,Los Angeles Chargers
2006,16,1.0,Marty Schottenheimer,Cam Cameron,Wade Phillips,Los Angeles Chargers
2005,16,0.0,Marty Schottenheimer,Cam Cameron,Wade Phillips,Los Angeles Chargers
2004,16,1.0,Marty Schottenheimer,Cam Cameron,Wade Phillips,Los Angeles Chargers
2003,16,0.0,Marty Schottenheimer,Cam Cameron,Dale Lindsey,Los Angeles Chargers
2002,16,0.0,Marty Schottenheimer,Cam Cameron,Dale Lindsey,Los Angeles Chargers
2001,16,0.0,Mike Riley,Norv Turner,"Mark Banker, Joe Pascale, Jim Vechiarella",Los Angeles Chargers
2000,16,0.0,Mike Riley,Geep Chryst,Joe Pascale,Los Angeles Chargers
1999,16,0.0,Mike Riley,Geep Chryst,Joe Pascale,Los Angeles Chargers
1998,10,0.0,June Jones,Mike Sheppard,Joe Pascale,Los Angeles Chargers
1998,6,0.0,Kevin Gilbride,Mike Sheppard,Joe Pascale,Los Angeles Chargers
1997,16,0.0,Kevin Gilbride,Mike Sheppard,Joe Pascale,Los Angeles Chargers
1996,16,0.0,Bobby Ross,Ralph Friedgen,Dave Adolph,Los Angeles Chargers
1995,16,1.0,Bobby Ross,Ralph Friedgen,Dave Adolph,Los Angeles Chargers
1994,16,3.0,Bobby Ross,Ralph Friedgen,Bill Arnsparger,Los Angeles Chargers
1993,16,0.0,Bobby Ross,,Bill Arnsparger,Los Angeles Chargers
1992,16,2.0,Bobby Ross,,Bill Arnsparger,Los Angeles Chargers
1991,16,0.0,Dan Henning,Ted Tollner,Ron Lynn,Los Angeles Chargers
1990,16,0.0,Dan Henning,,Ron Lynn,Los Angeles Chargers
1989,16,0.0,Dan Henning,Larry Beightol,Ron Lynn,Los Angeles Chargers
1988,16,0.0,Al Saunders,Jerry Rhome,Ron Lynn,Los Angeles Chargers
1987,15,0.0,Al Saunders,Dave Levy,Ron Lynn,Los Angeles Chargers
1986,8,0.0,Al Saunders,Ernie Zampese,Ron Lynn,Los Angeles Chargers
1986,8,0.0,Don Coryell,Ernie Zampese,Ron Lynn,Los Angeles Chargers
1985,16,0.0,Don Coryell,Dave Levy,"Dave Adolph, Tom Bass",Los Angeles Chargers
1984,16,0.0,Don Coryell,Dave Levy,Tom Bass,Los Angeles Chargers
1983,16,0.0,Don Coryell,Dave Levy,Tom Bass,Los Angeles Chargers
1982,9,2.0,Don Coryell,Larrye Weaver,Tom Bass,Los Angeles Chargers
1981,16,2.0,Don Coryell,Larrye Weaver,Jack Pardee,Los Angeles Chargers
1980,16,2.0,Don Coryell,Joe Gibbs,Jackie Simpson,Los Angeles Chargers
1979,16,1.0,Don Coryell,Joe Gibbs,Jackie Simpson,Los Angeles Chargers
1978,12,0.0,Don Coryell,Ray Perkins,Jackie Simpson,Los Angeles Chargers
1978,4,0.0,Tommy Prothro,Ray Perkins,Jackie Simpson,Los Angeles Chargers
1977,14,0.0,Tommy Prothro,Max Coley,Jackie Simpson,Los Angeles Chargers
1976,14,0.0,Tommy Prothro,Bill Walsh,Jackie Simpson,Los Angeles Chargers
1975,14,0.0,Tommy Prothro,John David Crow,Jackie Simpson,Los Angeles Chargers
1974,14,0.0,Tommy Prothro,John David Crow,Jackie Simpson,Los Angeles Chargers
1973,6,0.0,Ron Waller,Bob Schnelker,,Los Angeles Chargers
1973,8,0.0,Harland Svare,Bob Schnelker,,Los Angeles Chargers
1972,14,0.0,Harland Svare,Bob Schnelker,,Los Angeles Chargers
1971,4,0.0,Harland Svare,Charlie Waller,Phil Bengtson,Los Angeles Chargers
1971,10,0.0,Sid Gillman,Charlie Waller,Phil Bengtson,Los Angeles Chargers
1970,14,0.0,Charlie Waller,,Bum Phillips,Los Angeles Chargers
1969,5,0.0,Charlie Waller,,Bum Phillips,Los Angeles Chargers
1969,9,0.0,Sid Gillman,,Bum Phillips,Los Angeles Chargers
1968,14,0.0,Sid Gillman,,,Los Angeles Chargers
1967,14,0.0,Sid Gillman,,Tom Bass,Los Angeles Chargers
1966,14,0.0,Sid Gillman,,,Los Angeles Chargers
1965,14,1.0,Sid Gillman,,,Los Angeles Chargers
1964,14,1.0,Sid Gillman,,,Los Angeles Chargers
1963,14,1.0,Sid Gillman,Hugh Taylor,,Los Angeles Chargers
1962,14,0.0,Sid Gillman,,,Los Angeles Chargers
1961,14,1.0,Sid Gillman,,,Los Angeles Chargers
1960,14,1.0,Sid Gillman,,,Los Angeles Chargers
2025,7,,Sean McVay,Mike LaFleur,Chris Shula,Los Angeles Rams
2024,17,2.0,Sean McVay,Mike LaFleur,Chris Shula,Los Angeles Rams
2023,17,1.0,Sean McVay,Mike LaFleur,Raheem Morris,Los Angeles Rams
2022,17,,Sean McVay,Liam Coen,Raheem Morris,Los Angeles Rams
2021,17,4.0,Sean McVay,Kevin O'Connell,Raheem Morris,Los Angeles Rams
2020,16,2.0,Sean McVay,Kevin O'Connell,Brandon Staley,Los Angeles Rams
2019,16,,Sean McVay,,Wade Phillips,Los Angeles Rams
2018,16,3.0,Sean McVay,,Wade Phillips,Los Angeles Rams
2017,16,1.0,Sean McVay,Matt LaFleur,Wade Phillips,Los Angeles Rams
2016,3,,John Fassel,Rob Boras,Gregg Williams,Los Angeles Rams
2016,13,0.0,Jeff Fisher,Rob Boras,Gregg Williams,Los Angeles Rams
2015,16,,Jeff Fisher,"Rob Boras, Frank Cignetti",Gregg Williams,Los Angeles Rams
2014,16,0.0,Jeff Fisher,Brian Schottenheimer,Gregg Williams,Los Angeles Rams
2013,16,0.0,Jeff Fisher,Brian Schottenheimer,Tim Walton,Los Angeles Rams
2012,16,0.0,Jeff Fisher,Brian Schottenheimer,,Los Angeles Rams
2011,16,0.0,Steve Spagnuolo,Josh McDaniels,Ken Flajole,Los Angeles Rams
2010,16,0.0,Steve Spagnuolo,Pat Shurmur,Ken Flajole,Los Angeles Rams
2009,16,0.0,Steve Spagnuolo,Pat Shurmur,Ken Flajole,Los Angeles Rams
2008,12,0.0,Jim Haslett,Al Saunders,Rick Venturi,Los Angeles Rams
2008,4,0.0,Scott Linehan,Al Saunders,"Jim Haslett, Rick Venturi",Los Angeles Rams
2007,16,0.0,Scott Linehan,Greg Olson,Jim Haslett,Los Angeles Rams
2006,16,0.0,Scott Linehan,Greg Olson,Jim Haslett,Los Angeles Rams
2005,11,0.0,Joe Vitt,Steve Fairchild,Larry Marmie,Los Angeles Rams
2005,5,0.0,Mike Martz,Steve Fairchild,Larry Marmie,Los Angeles Rams
2004,16,2.0,Mike Martz,Steve Fairchild,Larry Marmie,Los Angeles Rams
2003,16,1.0,Mike Martz,Steve Fairchild,Lovie Smith,Los Angeles Rams
2002,16,0.0,Mike Martz,Bobby Jackson,Lovie Smith,Los Angeles Rams
2001,16,3.0,Mike Martz,Bobby Jackson,Lovie Smith,Los Angeles Rams
2000,16,1.0,Mike Martz,Bobby Jackson,Peter Giunta,Los Angeles Rams
1999,16,3.0,Dick Vermeil,Mike Martz,Peter Giunta,Los Angeles Rams
1998,16,0.0,Dick Vermeil,Jerry Rhome,Peter Giunta,Los Angeles Rams
1997,16,0.0,Dick Vermeil,Jerry Rhome,Bud Carson,Los Angeles Rams
1996,16,0.0,Rich Brooks,Jack Reilly,Willie Shaw,Los Angeles Rams
1995,16,0.0,Rich Brooks,Jack Reilly,Willie Shaw,Los Angeles Rams
1994,16,0.0,Chuck Knox,Chick Harris,George Dyer,Los Angeles Rams
1993,16,0.0,Chuck Knox,Ernie Zampese,George Dyer,Los Angeles Rams
1992,16,0.0,Chuck Knox,Ernie Zampese,George Dyer,Los Angeles Rams
1991,16,0.0,John Robinson,Ernie Zampese,Jeff Fisher,Los Angeles Rams
1990,16,0.0,John Robinson,Ernie Zampese,Fritz Shurmur,Los Angeles Rams
1989,16,3.0,John Robinson,Ernie Zampese,Fritz Shurmur,Los Angeles Rams
1988,16,1.0,John Robinson,Ernie Zampese,Fritz Shurmur,Los Angeles Rams
1987,15,0.0,John Robinson,Ernie Zampese,Fritz Shurmur,Los Angeles Rams
1986,16,1.0,John Robinson,,Fritz Shurmur,Los Angeles Rams
1985,16,2.0,John Robinson,,Fritz Shurmur,Los Angeles Rams
1984,16,1.0,John Robinson,Jimmy Raye,Fritz Shurmur,Los Angeles Rams
1983,16,2.0,John Robinson,Jimmy Raye,Fritz Shurmur,Los Angeles Rams
1982,9,0.0,Ray Malavasi,John Hadl,,Los Angeles Rams
1981,16,0.0,Ray Malavasi,Lionel Taylor,Bud Carson,Los Angeles Rams
1980,16,1.0,Ray Malavasi,Lionel Taylor,Bud Carson,Los Angeles Rams
1979,16,3.0,Ray Malavasi,,Bud Carson,Los Angeles Rams
1978,16,2.0,Ray Malavasi,,Bud Carson,Los Angeles Rams
1977,14,1.0,Chuck Knox,Ray Prochaska,Ray Malavasi,Los Angeles Rams
1976,14,2.0,Chuck Knox,Ken Meyer,Ray Malavasi,Los Angeles Rams
1975,14,2.0,Chuck Knox,Ken Meyer,Ray Malavasi,Los Angeles Rams
1974,14,2.0,Chuck Knox,Ken Meyer,Ray Malavasi,Los Angeles Rams
1973,14,1.0,Chuck Knox,Ken Meyer,Ray Malavasi,Los Angeles Rams
1972,14,0.0,Tommy Prothro,,,Los Angeles Rams
1971,14,0.0,Tommy Prothro,,,Los Angeles Rams
1970,14,0.0,George Allen,Ray Prochaska,,Los Angeles Rams
1969,14,1.0,George Allen,Ray Prochaska,,Los Angeles Rams
1968,14,0.0,George Allen,,,Los Angeles Rams
1967,14,1.0,George Allen,,,Los Angeles Rams
1966,14,0.0,George Allen,,,Los Angeles Rams
1965,14,0.0,Harland Svare,,,Los Angeles Rams
1964,14,0.0,Harland Svare,,,Los Angeles Rams
1963,14,0.0,Harland Svare,,,Los Angeles Rams
1962,6,0.0,Harland Svare,Hampton Pool,,Los Angeles Rams
1962,8,0.0,Bob Waterfield,Hampton Pool,,Los Angeles Rams
1961,14,0.0,Bob Waterfield,Hampton Pool,,Los Angeles Rams
1960,12,0.0,Bob Waterfield,Hampton Pool,,Los Angeles Rams
1959,12,0.0,Sid Gillman,,,Los Angeles Rams
1958,12,0.0,Sid Gillman,,,Los Angeles Rams
1957,12,0.0,Sid Gillman,,,Los Angeles Rams
1956,12,0.0,Sid Gillman,,,Los Angeles Rams
1955,12,1.0,Sid Gillman,,,Los Angeles Rams
1954,12,0.0,Hampton Pool,,,Los Angeles Rams
1953,12,0.0,Hampton Pool,,,Los Angeles Rams
1952,11,1.0,Hampton Pool,,,Los Angeles Rams
1952,1,0.0,Joe Stydahar,,,Los Angeles Rams
1951,12,1.0,Joe Stydahar,,,Los Angeles Rams
1950,12,2.0,Joe Stydahar,,,Los Angeles Rams
1949,12,1.0,Clark Shaughnessy,,,Los Angeles Rams
1948,12,0.0,Clark Shaughnessy,,,Los Angeles Rams
1947,12,0.0,Bob Snyder,,,Los Angeles Rams
1946,11,0.0,Adam Walsh,,,Los Angeles Rams
1945,10,1.0,Adam Walsh,,,Los Angeles Rams
1944,10,0.0,Aldo Donelli,,,Los Angeles Rams
1942,11,0.0,Dutch Clark,,,Los Angeles Rams
1941,11,0.0,Dutch Clark,,,Los Angeles Rams
1940,11,0.0,Dutch Clark,,,Los Angeles Rams
1939,11,0.0,Dutch Clark,,,Los Angeles Rams
1938,8,0.0,Art Lewis,,,Los Angeles Rams
1938,3,0.0,Hugo Bezdek,,,Los Angeles Rams
1937,11,0.0,Hugo Bezdek,,,Los Angeles Rams
2025,7,,Mike McDaniel,Frank Smith,Anthony Weaver,Miami Dolphins
2024,17,,Mike McDaniel,Frank Smith,Anthony Weaver,Miami Dolphins
2023,17,1.0,Mike McDaniel,Frank Smith,Vic Fangio,Miami Dolphins
2022,17,1.0,Mike McDaniel,Frank Smith,Josh Boyer,Miami Dolphins
2021,17,,Brian Flores,"George Godsey, Eric Studesville",Josh Boyer,Miami Dolphins
2020,16,,Brian Flores,Chan Gailey,Josh Boyer,Miami Dolphins
2019,16,,Brian Flores,Chad O'Shea,Patrick Graham,Miami Dolphins
2018,16,,Adam Gase,Dowell Loggains,Matt Burke,Miami Dolphins
2017,16,,Adam Gase,Clyde Christensen,Matt Burke,Miami Dolphins
2016,16,1.0,Adam Gase,Clyde Christensen,Vance Joseph,Miami Dolphins
2015,12,,Dan Campbell,"Bill Lazor, Zac Taylor","Lou Anarumo, Kevin Coyle",Miami Dolphins
2015,4,0.0,Joe Philbin,"Bill Lazor, Zac Taylor","Lou Anarumo, Kevin Coyle",Miami Dolphins
2014,16,0.0,Joe Philbin,Bill Lazor,Kevin Coyle,Miami Dolphins
2013,16,0.0,Joe Philbin,Mike Sherman,Kevin Coyle,Miami Dolphins
2012,16,0.0,Joe Philbin,Mike Sherman,Kevin Coyle,Miami Dolphins
2011,3,0.0,Todd Bowles,Brian Daboll,Mike Nolan,Miami Dolphins
2011,13,0.0,Tony Sparano,Brian Daboll,Mike Nolan,Miami Dolphins
2010,16,0.0,Tony Sparano,Dan Henning,Mike Nolan,Miami Dolphins
2009,16,0.0,Tony Sparano,Dan Henning,Paul Pasqualoni,Miami Dolphins
2008,16,1.0,Tony Sparano,Dan Henning,Paul Pasqualoni,Miami Dolphins
2007,16,0.0,Cam Cameron,,Dom Capers,Miami Dolphins
2006,16,0.0,Nick Saban,Mike Mularkey,Dom Capers,Miami Dolphins
2005,16,0.0,Nick Saban,Scott Linehan,Richard Smith,Miami Dolphins
2004,7,0.0,Jim Bates,Chris Foerster,,Miami Dolphins
2004,9,0.0,Dave Wannstedt,Chris Foerster,Jim Bates,Miami Dolphins
2003,16,0.0,Dave Wannstedt,Norv Turner,Jim Bates,Miami Dolphins
2002,16,0.0,Dave Wannstedt,Norv Turner,Jim Bates,Miami Dolphins
2001,16,1.0,Dave Wannstedt,Chan Gailey,Jim Bates,Miami Dolphins
2000,16,2.0,Dave Wannstedt,Chan Gailey,Jim Bates,Miami Dolphins
1999,16,2.0,Jimmy Johnson,Kippy Brown,"George Hill, Dave Wannstedt",Miami Dolphins
1998,16,2.0,Jimmy Johnson,Kippy Brown,George Hill,Miami Dolphins
1997,16,1.0,Jimmy Johnson,Gary Stevens,George Hill,Miami Dolphins
1996,16,0.0,Jimmy Johnson,Gary Stevens,George Hill,Miami Dolphins
1995,16,1.0,Don Shula,Gary Stevens,Tom Olivadotti,Miami Dolphins
1994,16,2.0,Don Shula,Gary Stevens,Tom Olivadotti,Miami Dolphins
1993,16,0.0,Don Shula,Gary Stevens,Tom Olivadotti,Miami Dolphins
1992,16,2.0,Don Shula,Gary Stevens,Tom Olivadotti,Miami Dolphins
1991,16,0.0,Don Shula,Gary Stevens,Tom Olivadotti,Miami Dolphins
1990,16,2.0,Don Shula,Gary Stevens,Tom Olivadotti,Miami Dolphins
1989,16,0.0,Don Shula,Gary Stevens,Tom Olivadotti,Miami Dolphins
1988,16,0.0,Don Shula,,Tom Olivadotti,Miami Dolphins
1987,15,0.0,Don Shula,,Tom Olivadotti,Miami Dolphins
1986,16,0.0,Don Shula,,Chuck Studley,Miami Dolphins
1985,16,2.0,Don Shula,,Chuck Studley,Miami Dolphins
1984,16,3.0,Don Shula,,Chuck Studley,Miami Dolphins
1983,16,1.0,Don Shula,,Bill Arnsparger,Miami Dolphins
1982,9,4.0,Don Shula,,Bill Arnsparger,Miami Dolphins
1981,16,1.0,Don Shula,,Bill Arnsparger,Miami Dolphins
1980,16,0.0,Don Shula,,Bill Arnsparger,Miami Dolphins
1979,16,1.0,Don Shula,,Bill Arnsparger,Miami Dolphins
1978,16,1.0,Don Shula,Howard Schnellenberger,Bill Arnsparger,Miami Dolphins
1977,14,0.0,Don Shula,Howard Schnellenberger,Bill Arnsparger,Miami Dolphins
1976,14,0.0,Don Shula,Howard Schnellenberger,Bill Arnsparger,Miami Dolphins
1975,14,0.0,Don Shula,Howard Schnellenberger,,Miami Dolphins
1974,14,1.0,Don Shula,Monte Clark,Vince Costello,Miami Dolphins
1973,14,3.0,Don Shula,Bill McPeak,Bill Arnsparger,Miami Dolphins
1972,14,3.0,Don Shula,Howard Schnellenberger,Bill Arnsparger,Miami Dolphins
1971,14,3.0,Don Shula,Howard Schnellenberger,Bill Arnsparger,Miami Dolphins
1970,14,1.0,Don Shula,Howard Schnellenberger,Bill Arnsparger,Miami Dolphins
1969,14,0.0,George Wilson,,,Miami Dolphins
1968,14,0.0,George Wilson,,,Miami Dolphins
1967,14,0.0,George Wilson,,,Miami Dolphins
1966,14,0.0,George Wilson,,,Miami Dolphins
2025,7,,Kevin O'Connell,Wes Phillips,Brian Flores,Minnesota Vikings
2024,17,1.0,Kevin O'Connell,Wes Phillips,Brian Flores,Minnesota Vikings
2023,17,,Kevin O'Connell,Wes Phillips,Brian Flores,Minnesota Vikings
2022,17,1.0,Kevin O'Connell,Wes Phillips,Ed Donatell,Minnesota Vikings
2021,17,,Mike Zimmer,Klint Kubiak,"Andre Patterson, Adam Zimmer",Minnesota Vikings
2020,16,,Mike Zimmer,Gary Kubiak,"Andre Patterson, Adam Zimmer",Minnesota Vikings
2019,16,2.0,Mike Zimmer,Kevin Stefanski,George Edwards,Minnesota Vikings
2018,16,,Mike Zimmer,John DeFilippo,George Edwards,Minnesota Vikings
2017,16,2.0,Mike Zimmer,Pat Shurmur,George Edwards,Minnesota Vikings
2016,16,,Mike Zimmer,"Pat Shurmur, Norv Turner",George Edwards,Minnesota Vikings
2015,16,1.0,Mike Zimmer,Norv Turner,George Edwards,Minnesota Vikings
2014,16,0.0,Mike Zimmer,Norv Turner,George Edwards,Minnesota Vikings
2013,16,0.0,Leslie Frazier,Bill Musgrave,Alan Williams,Minnesota Vikings
2012,16,1.0,Leslie Frazier,Bill Musgrave,Alan Williams,Minnesota Vikings
2011,16,0.0,Leslie Frazier,Bill Musgrave,Fred Pagac,Minnesota Vikings
2010,6,0.0,Leslie Frazier,Darrell Bevell,Fred Pagac,Minnesota Vikings
2010,10,0.0,Brad Childress,Darrell Bevell,"Leslie Frazier, Fred Pagac",Minnesota Vikings
2009,16,2.0,Brad Childress,Darrell Bevell,Leslie Frazier,Minnesota Vikings
2008,16,1.0,Brad Childress,Darrell Bevell,Leslie Frazier,Minnesota Vikings
2007,16,0.0,Brad Childress,Darrell Bevell,Leslie Frazier,Minnesota Vikings
